,Date,Close,High,Low,Open,Volume
482,2023-12-04,188.2994537353516,188.91576382150808,186.33127483914024,188.84617430866663,43389500
483,2023-12-05,192.26564025878903,193.23978723319647,189.0449715767376,189.0748064867984,66628400
484,2023-12-06,191.17222595214844,193.5976510937421,190.9634725753497,193.28950362567244,41089700
485,2023-12-07,193.11058044433597,193.8362194805571,192.43463086867496,192.4744006383907,47477700
486,2023-12-08,194.5419769287109,194.82030462884572,192.5141434931892,193.0409791518531,53377300
487,2023-12-11,192.02706909179688,192.3352317119437,190.27757846347603,191.957494748212,60943700
488,2023-12-12,193.5479736328125,193.5579084922386,190.5758125501861,191.92769665062556,52696900
489,2023-12-13,196.7785797119141,196.81833431777545,193.6871396116279,193.9256975822452,70404200
490,2023-12-14,196.92767333984372,198.4286561477334,194.9893140401918,196.83821410318075,66831600
491,2023-12-15,196.3909149169922,197.21594815206504,195.82430938091505,196.3511451419736,128256700
492,2023-12-18,194.7209014892578,195.4564905299688,193.2298536912898,194.9197048287757,55751900
493,2023-12-19,195.76466369628903,195.77459855586707,194.72092706706565,194.98931995291727,40714100
494,2023-12-20,193.6672515869141,196.5002336161637,193.6672515869141,195.7248898887713,52242800
495,2023-12-21,193.5181121826172,195.90379770975295,192.3451618867601,194.9296507492267,46482500
496,2023-12-22,192.444580078125,194.24377537319003,191.81833513340536,194.0151371176024,37122800
497,2023-12-26,191.8978729248047,192.73285613100865,191.6791846801717,192.45452839560733,28919300
498,2023-12-27,191.99728393554688,192.3452012193128,189.9495803442342,191.34123431157244,48087700
499,2023-12-28,192.4247131347656,193.4982694967864,192.01715638138543,192.98136861854132,34049900
500,2023-12-29,191.3809509277344,193.23978563415235,190.58572241393787,192.7427697089948,42628800
501,2024-01-02,184.53208923339844,187.31538170646212,182.79253333369908,186.0330720064728,82488700
502,2024-01-03,183.1503753662109,184.77065219734183,182.3352619375341,183.1205556229884,58414500
503,2024-01-04,180.8243560791016,181.99730650228184,179.80050438167336,181.06291404030492,71983600
504,2024-01-05,180.09869384765625,181.6692660827433,179.09472708075188,180.90387243418792,62303300
505,2024-01-08,184.4525604248047,184.4923301954816,180.41679326133183,181.0032684531674,59144500
506,2024-01-09,184.0350646972656,184.0449995558496,181.63944418662985,182.82234457021028,42841800
507,2024-01-10,185.0788116455078,185.2875498615879,182.8223548665811,183.24979649333247,46792900
508,2024-01-11,184.4823760986328,185.9336693418516,182.524132048394,185.42670336710847,49128400
509,2024-01-12,184.81040954589844,185.6255229866903,184.0847705038269,184.9495734055796,40444700
510,2024-01-16,182.53407287597656,183.16030262539027,179.85017475552078,181.07284484780743,65603000
511,2024-01-17,181.5897521972656,181.83826018866836,179.2239664331644,180.1881786532248,47317400
512,2024-01-18,187.50424194335935,188.01119275141855,184.72094959289208,184.979392426226,78005800
513,2024-01-19,190.416748046875,190.80441988057507,187.69311035237,188.2000611602168,68741000
514,2024-01-22,192.73284912109372,194.16425751836653,191.11257223144145,191.1523420023232,60133900
515,2024-01-23,194.01515197753903,194.58175747905844,192.67321792314556,193.8561183903394,42355600
516,2024-01-24,193.33920288085935,195.20798769039715,193.18015413797892,194.25371040083743,53631300
517,2024-01-25,193.0111846923828,195.0986578845498,191.95751323703675,194.0549212884663,54822100
518,2024-01-26,191.27163696289065,193.59766821896895,190.7945058465033,193.1106022428928,44594000
519,2024-01-29,190.5857391357422,191.05293535979936,188.4485765371413,190.8640668648328,47145600
520,2024-01-30,186.91775512695312,190.6553248447769,186.35116482109103,189.80045678886228,55859400
521,2024-01-31,183.2994842529297,185.98338263365997,183.24979478995036,185.923727976182,55467800
522,2024-02-01,185.74481201171875,185.83427124755644,182.72296153753896,182.8919451500293,64885400
523,2024-02-02,184.7408447265625,186.21200777158808,178.18022776276848,178.78658786144558,102518000
524,2024-02-05,186.55990600585935,188.120543422021,184.7308908884036,187.02710222804,69668800
525,2024-02-06,188.1702423095703,188.180177168222,185.65534280788864,185.7448020389232,43490800
526,2024-02-07,188.2795867919922,189.9097985097057,187.48435823433903,189.5022417883465,53439000
527,2024-02-08,187.1960906982422,188.40879563608695,186.23187856237743,188.2596969213544,40962000
528,2024-02-09,187.9624786376953,189.0971204380579,187.11646725876847,187.76340641648085,45155200
529,2024-02-12,186.2704620361328,187.78332288230948,185.91215328801408,187.53449778464588,41781900
530,2024-02-13,184.1703643798828,185.33487911795885,182.64755610649428,184.89694454758452,56529500
531,2024-02-14,183.2845458984375,184.65806518525372,181.58259087415237,184.44906062504623,54630500
532,2024-02-15,182.9959259033203,183.62296999377597,180.4977274519665,182.68738521978767,65434500
533,2024-02-16,181.45318603515625,183.981257173353,180.81619448303397,182.5579699194549,49701400
534,2024-02-20,180.70672607421875,181.5726325042779,179.15405998428736,180.93564089848357,53665600
535,2024-02-21,181.4631805419922,182.03049388623003,179.81097819372195,181.0849615211141,41529700
536,2024-02-22,183.5035400390625,184.0907788497269,181.60252771208349,182.6177232415446,52292200
537,2024-02-23,181.66221618652344,184.17036202409395,181.37357059288817,184.1405042298665,45119700
538,2024-02-26,180.30862426757807,181.90109579673225,179.80101134340092,181.3835505229736,40867400
539,2024-02-27,181.77169799804688,183.05562869813585,178.71611879819,180.24888975946536,54318900
540,2024-02-28,180.5673828125,182.25939032452453,179.28345207788615,181.6522565198894,48953900
541,2024-02-29,179.90052795410156,181.71198177710176,178.6862603817135,180.4180883588269,136682600
542,2024-03-01,178.815673828125,179.6815803178056,176.54639012704013,178.7061901764464,73488000
543,2024-03-04,174.27708435058594,176.0686126971914,172.97322823226915,175.32213749041347,81510100
544,2024-03-05,169.32049560546875,171.2314705105848,168.82284541599856,169.95748724050745,95132400
545,2024-03-06,168.32518005371094,170.43522699407845,167.88724549652,170.256065044738,68587700
546,2024-03-07,168.2057647705078,169.92763018116116,167.6981670423948,168.35505375316498,71765100
547,2024-03-08,169.92762756347656,172.8836708711805,168.14604658720506,168.20576217934803,76114600
548,2024-03-11,171.93814086914062,173.56048535052068,171.2414336396481,172.12725037151972,60139500
549,2024-03-12,172.41586303710938,173.2121062975323,170.20629520329734,172.3362371923594,59825400
550,2024-03-13,170.32574462890625,172.37606081011293,169.95747319192603,171.95803650796103,52488700
551,2024-03-14,172.1869659423828,173.49080701178275,171.2414336176872,172.0973925529764,72913500
552,2024-03-15,171.80874633789062,171.80874633789062,169.48969463541124,170.3655638276482,121664700
553,2024-03-18,172.90357971191406,176.87483361469177,172.70452267737835,174.7448914522954,75604200
